id,station,group,time,susceptibility,severity,benefits,barriers,self_efficacy,cues_to_action,ttm_stage,safe_behavior
1,S01,intervention,pre,3.25,3.66,2.74,3.01,2.74,3.67,5,3.12
1,S01,intervention,post,3.69,3.6,3.01,3.08,3.24,3.94,5,3.86
1,S01,intervention,followup,3.41,3.87,3.0,3.03,2.99,3.89,4,3.38
2,S02,intervention,pre,3.88,3.09,2.5,2.97,2.69,4.21,5,3.39
2,S02,intervention,post,4.04,3.19,3.19,2.44,2.83,4.39,5,4.15
2,S02,intervention,followup,3.89,3.31,2.91,2.73,3.03,4.44,5,3.93
3,S03,intervention,pre,3.85,3.98,3.19,2.24,3.57,1.87,5,2.5
3,S03,intervention,post,4.12,4.05,3.21,1.87,3.79,2.29,5,2.73
3,S03,intervention,followup,4.04,4.12,3.22,1.94,3.64,2.15,5,3.12
4,S04,intervention,pre,4.05,4.48,4.04,2.67,3.33,3.29,5,3.49
4,S04,intervention,post,4.25,4.58,4.4,2.38,3.73,3.6,5,3.81
4,S04,intervention,followup,4.19,4.3,4.28,2.46,3.74,3.68,5,3.73
5,S05,intervention,pre,2.8,4.15,4.25,2.9,1.49,1.28,3,2.43
5,S05,intervention,post,2.89,4.31,4.47,2.85,2.18,1.97,5,2.98
5,S05,intervention,followup,2.98,4.09,4.6,2.92,2.05,1.82,5,2.45
6,S06,intervention,pre,3.92,4.2,4.62,3.22,3.64,2.04,5,2.63
6,S06,intervention,post,4.03,4.15,4.61,2.65,4.11,2.44,5,3.71
6,S06,intervention,followup,4.18,4.11,4.75,2.63,3.93,2.2,5,3.68
7,S07,intervention,pre,3.53,4.27,2.61,3.21,2.83,3.9,4,3.5
7,S07,intervention,post,3.78,4.25,2.8,2.84,3.47,4.38,4,3.67
7,S07,intervention,followup,3.78,4.23,2.81,2.84,3.16,4.3,5,3.51
8,S08,intervention,pre,3.44,4.52,3.38,3.11,2.07,2.73,4,2.59
8,S08,intervention,post,3.73,4.82,3.92,2.62,2.64,3.07,5,3.96
8,S08,intervention,followup,3.54,4.64,3.51,2.7,2.51,2.91,5,3.31
9,S09,intervention,pre,2.98,3.26,4.32,3.33,4.0,1.31,5,3.34
9,S09,intervention,post,3.05,3.31,4.96,2.86,4.5,1.75,5,3.86
9,S09,intervention,followup,3.12,3.19,4.63,3.18,4.23,1.87,5,3.87
10,S10,intervention,pre,4.21,3.45,3.82,2.71,1.56,3.01,3,1.76
10,S10,intervention,post,4.4,3.5,3.78,2.46,2.17,3.08,5,2.84
10,S10,intervention,followup,4.3,3.4,3.83,2.57,2.18,2.82,5,1.84
11,S11,intervention,pre,3.44,3.75,2.87,3.07,3.48,2.48,5,3.17
11,S11,intervention,post,3.41,3.86,3.04,2.87,3.71,2.69,5,3.19
11,S11,intervention,followup,3.46,3.82,2.85,3.15,3.5,2.64,4,2.6
12,S12,intervention,pre,3.0,3.88,3.81,2.33,3.93,2.38,5,3.56
12,S12,intervention,post,3.15,3.87,3.94,2.09,4.09,2.73,5,4.21
12,S12,intervention,followup,3.23,3.8,3.86,2.08,4.14,2.49,5,4.31
13,S01,intervention,pre,2.96,3.36,3.41,2.77,3.22,2.51,5,2.28
13,S01,intervention,post,2.96,3.6,4.17,2.38,3.86,2.86,5,3.08
13,S01,intervention,followup,3.1,3.57,3.72,2.51,3.65,2.59,5,3.11
14,S02,intervention,pre,3.16,3.64,3.47,3.53,4.51,2.87,5,2.68
14,S02,intervention,post,3.38,4.01,3.62,3.3,4.92,3.36,5,3.28
14,S02,intervention,followup,3.25,3.75,3.59,3.14,4.89,3.22,5,3.56
15,S03,intervention,pre,2.78,2.98,4.28,2.69,3.3,3.08,5,3.73
15,S03,intervention,post,3.06,3.14,4.56,2.51,3.63,3.44,5,3.77
15,S03,intervention,followup,2.92,3.21,4.39,2.57,3.39,3.36,5,3.53
16,S04,intervention,pre,2.82,4.24,3.18,2.53,2.91,3.36,5,3.11
16,S04,intervention,post,2.95,4.26,3.39,2.1,3.3,3.87,5,3.7
16,S04,intervention,followup,3.03,4.28,3.66,2.13,3.32,3.7,5,3.99
17,S05,intervention,pre,4.71,3.96,2.26,3.57,2.05,2.58,3,2.83
17,S05,intervention,post,4.88,4.12,2.3,3.51,2.62,2.96,4,3.54
17,S05,intervention,followup,4.98,4.13,2.55,3.4,2.72,2.84,5,3.71
18,S06,intervention,pre,3.55,3.26,4.5,3.7,1.07,3.38,1,2.95
18,S06,intervention,post,3.65,3.31,4.65,3.41,1.7,3.74,4,3.54
18,S06,intervention,followup,3.63,3.42,4.59,3.59,1.4,3.8,5,3.21
19,S07,intervention,pre,2.82,3.37,3.84,3.02,4.06,3.08,5,3.64
19,S07,intervention,post,2.99,3.61,4.38,2.95,4.3,3.44,5,5
19,S07,intervention,followup,2.89,3.63,4.04,2.87,4.29,3.31,5,4.41
20,S08,intervention,pre,3.22,3.04,3.44,3.54,3.19,3.55,4,2.69
20,S08,intervention,post,3.11,3.07,3.31,3.37,3.57,3.91,4,3.71
20,S08,intervention,followup,3.53,3.14,3.91,3.35,3.46,3.63,5,3.98
21,S09,intervention,pre,3.51,3.63,2.96,2.47,3.34,3.1,4,2.93
21,S09,intervention,post,3.42,3.71,3.28,2.08,3.65,3.41,5,3.87
21,S09,intervention,followup,3.68,3.6,3.13,2.4,3.82,3.38,5,3.81
22,S10,intervention,pre,2.79,4.3,3.39,2.88,2.53,2.0,5,2.52
22,S10,intervention,post,2.82,4.4,3.56,2.48,2.79,2.12,5,3.56
22,S10,intervention,followup,2.97,4.42,3.59,2.56,2.85,2.13,5,3.21
23,S11,intervention,pre,3.58,3.83,4.32,2.99,2.08,2.76,3,3.01
23,S11,intervention,post,3.87,3.84,4.46,2.95,2.46,3.2,5,3.82
23,S11,intervention,followup,3.67,3.79,4.14,2.95,2.7,2.95,5,3.57
24,S12,intervention,pre,2.63,3.27,4.24,2.33,2.81,3.21,4,3.57
24,S12,intervention,post,2.69,3.57,4.59,2.1,3.53,3.23,5,3.83
24,S12,intervention,followup,2.69,3.35,4.64,1.85,3.54,3.54,5,4.0
25,S01,intervention,pre,3.55,3.6,3.64,2.07,2.66,2.45,5,2.97
25,S01,intervention,post,3.62,3.59,3.89,1.98,3.09,2.99,5,3.96
25,S01,intervention,followup,3.63,3.65,3.92,1.84,2.94,2.8,5,3.74
26,S02,intervention,pre,3.48,3.14,3.47,3.65,3.37,2.73,5,3.44
26,S02,intervention,post,3.57,3.39,3.67,3.1,4.0,3.15,5,3.82
26,S02,intervention,followup,3.38,3.27,3.83,3.53,3.86,2.91,5,3.51
27,S03,intervention,pre,3.43,2.76,2.5,2.78,2.52,1.6,4,2.33
27,S03,intervention,post,3.56,2.78,3.25,2.52,3.31,2.06,5,2.97
27,S03,intervention,followup,3.47,2.66,2.92,2.62,3.05,2.21,5,2.92
28,S04,intervention,pre,3.84,4.15,4.02,2.12,2.7,2.94,5,3.04
28,S04,intervention,post,4.08,3.97,4.34,1.62,2.82,3.29,5,3.93
28,S04,intervention,followup,4.07,4.08,4.16,1.84,2.97,3.0,5,4.08
29,S05,intervention,pre,3.96,3.84,3.72,2.24,2.85,3.01,5,2.7
29,S05,intervention,post,4.1,4.05,3.95,2.14,3.26,3.28,5,2.98
29,S05,intervention,followup,4.26,3.97,4.08,2.3,3.12,3.5,5,2.83
30,S06,intervention,pre,3.53,3.85,3.24,3.18,2.45,2.96,5,2.65
30,S06,intervention,post,3.57,3.77,3.27,3.15,2.76,3.43,4,3.25
30,S06,intervention,followup,3.68,3.92,3.29,3.0,3.07,3.24,5,2.65
31,S07,intervention,pre,2.13,3.4,4.33,2.3,2.38,2.45,5,2.57
31,S07,intervention,post,2.25,3.48,4.43,2.15,2.91,3.03,5,3.93
31,S07,intervention,followup,2.09,3.54,4.58,2.33,2.82,2.86,5,3.38
32,S08,intervention,pre,3.33,3.66,3.61,3.52,1.39,3.74,3,2.47
32,S08,intervention,post,3.42,3.96,3.79,3.34,1.9,4.02,4,2.76
32,S08,intervention,followup,3.39,3.53,3.69,3.58,1.88,3.96,2,2.2
33,S09,intervention,pre,3.05,3.75,3.48,3.79,2.17,2.8,3,2.62
33,S09,intervention,post,3.02,3.81,3.72,3.78,2.59,3.32,5,3.36
33,S09,intervention,followup,3.08,3.65,3.7,3.76,2.55,2.95,3,3.08
34,S10,intervention,pre,3.62,3.18,3.78,3.5,3.43,2.84,5,2.75
34,S10,intervention,post,3.8,3.33,4.21,3.18,3.85,3.04,5,3.14
34,S10,intervention,followup,3.53,3.09,4.15,3.08,3.76,3.04,5,3.09
35,S11,intervention,pre,3.56,4.07,3.87,2.36,3.09,2.57,5,3.08
35,S11,intervention,post,3.85,4.29,4.07,2.38,3.64,2.85,5,4.19
35,S11,intervention,followup,3.96,4.14,3.96,2.29,3.54,2.83,5,3.29
36,S12,intervention,pre,3.52,2.44,3.77,2.58,2.77,4.1,5,2.93
36,S12,intervention,post,3.76,2.68,3.81,2.16,3.19,4.41,5,3.96
36,S12,intervention,followup,3.54,2.58,3.84,2.33,2.85,4.35,5,3.93
37,S01,intervention,pre,3.42,3.26,3.46,3.08,3.22,3.46,5,2.25
37,S01,intervention,post,3.65,3.34,4.03,2.69,3.64,3.98,5,2.67
37,S01,intervention,followup,3.58,3.27,3.74,2.41,3.69,3.78,5,2.95
38,S02,intervention,pre,3.72,3.44,2.39,2.39,3.04,1.7,5,3.63
38,S02,intervention,post,4.1,3.52,2.66,2.26,3.41,2.07,5,4.07
38,S02,intervention,followup,3.91,3.66,2.57,2.21,3.35,2.02,3,4.14
39,S03,intervention,pre,3.26,4.97,2.47,2.7,2.8,3.23,5,2.8
39,S03,intervention,post,3.37,5,2.91,2.31,3.16,3.62,5,3.41
39,S03,intervention,followup,3.4,5,2.91,2.38,3.21,3.69,5,3.54
40,S04,intervention,pre,3.37,3.18,4.55,2.14,4.92,3.05,5,4.33
40,S04,intervention,post,3.46,3.16,4.81,1.82,5,3.33,5,4.86
40,S04,intervention,followup,3.33,3.27,5,1.89,5,3.27,5,5
41,S05,intervention,pre,2.45,3.6,3.97,3.64,3.96,3.02,5,3.46
41,S05,intervention,post,2.26,3.57,4.21,3.37,4.64,3.28,5,4.21
41,S05,intervention,followup,2.44,3.65,4.02,3.3,4.33,3.4,5,3.9
42,S06,intervention,pre,3.4,4.1,4.17,3.09,3.04,1.74,5,2.91
42,S06,intervention,post,3.53,4.13,4.35,2.78,3.88,1.96,5,3.51
42,S06,intervention,followup,3.42,4.14,4.26,2.74,3.45,1.81,4,3.29
43,S07,intervention,pre,2.44,3.65,4.24,3.3,1.03,2.96,3,2.14
43,S07,intervention,post,2.39,3.74,4.78,3.03,1.84,3.17,3,3.07
43,S07,intervention,followup,2.45,3.73,4.46,3.25,1.72,3.11,3,2.44
44,S08,intervention,pre,3.54,2.81,4.0,3.17,2.15,3.01,5,3.13
44,S08,intervention,post,3.43,2.93,4.02,2.9,2.81,3.21,5,3.23
44,S08,intervention,followup,3.39,2.98,4.08,3.0,2.81,3.17,5,2.94
45,S09,intervention,pre,2.95,2.65,3.49,3.64,3.27,3.85,5,3.58
45,S09,intervention,post,3.21,2.79,3.73,3.42,3.81,4.23,5,4.47
45,S09,intervention,followup,2.96,2.9,3.82,3.64,3.84,4.35,5,4.66
46,S10,intervention,pre,3.22,3.52,3.8,3.14,3.69,3.16,5,4.05
46,S10,intervention,post,3.27,3.8,3.99,2.85,4.23,3.42,5,4.24
46,S10,intervention,followup,3.23,3.43,4.14,2.94,4.21,3.3,5,3.97
47,S11,intervention,pre,3.75,4.06,3.81,3.64,2.61,3.93,4,2.13
47,S11,intervention,post,3.88,4.26,4.04,3.62,2.86,4.26,5,2.57
47,S11,intervention,followup,3.88,3.98,4.43,3.4,2.68,4.4,5,2.44
48,S12,intervention,pre,3.16,3.73,2.43,3.21,2.44,3.17,3,2.31
48,S12,intervention,post,3.37,3.76,3.01,2.68,3.19,3.55,5,3.03
48,S12,intervention,followup,3.42,3.67,2.87,2.96,2.86,3.48,4,2.74
49,S01,intervention,pre,2.99,4.4,3.36,3.14,1.82,2.1,3,2.41
49,S01,intervention,post,2.94,4.62,3.51,2.96,2.31,2.62,4,3.22
49,S01,intervention,followup,2.89,4.29,3.64,3.14,2.21,2.33,4,2.5
50,S02,intervention,pre,3.68,4.2,4.02,3.36,2.68,2.12,5,2.44
50,S02,intervention,post,3.69,4.28,4.55,2.68,3.4,2.64,5,3.87
50,S02,intervention,followup,3.87,4.05,4.34,2.98,3.26,2.51,5,3.1
51,S03,intervention,pre,3.62,3.35,4.48,3.25,3.28,2.93,4,2.76
51,S03,intervention,post,3.48,3.56,4.84,3.09,3.25,3.27,5,3.73
51,S03,intervention,followup,3.47,3.67,4.78,3.09,3.25,3.19,5,3.54
52,S04,intervention,pre,3.37,4.99,2.99,3.27,2.76,2.39,4,2.65
52,S04,intervention,post,3.56,5,3.48,3.28,3.27,2.79,5,3.27
52,S04,intervention,followup,3.53,4.87,3.05,3.19,2.93,2.98,5,3.0
53,S05,intervention,pre,3.3,3.22,3.52,3.6,2.15,1.73,3,2.43
53,S05,intervention,post,3.16,3.46,3.46,3.03,2.75,1.96,3,3.18
53,S05,intervention,followup,3.21,3.3,3.56,2.99,2.69,2.01,5,3.11
54,S06,intervention,pre,4.25,4.05,3.64,3.37,3.17,2.82,5,3.61
54,S06,intervention,post,4.65,4.18,4.02,3.32,3.43,3.09,5,3.64
54,S06,intervention,followup,4.51,4.14,3.77,3.49,3.37,2.95,5,3.66
55,S07,intervention,pre,2.33,3.63,3.81,3.06,2.53,2.64,5,2.33
55,S07,intervention,post,2.67,3.59,3.96,2.36,3.12,3.11,5,2.81
55,S07,intervention,followup,2.48,3.47,4.05,2.77,2.92,2.91,5,2.81
56,S08,intervention,pre,4.22,4.38,2.63,3.84,3.7,3.43,5,3.33
56,S08,intervention,post,4.59,4.36,2.88,3.69,3.99,3.76,5,4.23
56,S08,intervention,followup,4.4,4.09,2.75,3.8,4.07,3.63,5,3.97
57,S09,intervention,pre,3.43,3.93,2.7,3.63,3.26,2.02,5,2.8
57,S09,intervention,post,3.55,4.08,2.98,3.47,3.57,2.44,5,3.07
57,S09,intervention,followup,3.46,4.09,2.79,3.14,3.72,2.37,4,2.97
58,S10,intervention,pre,1.41,3.27,2.81,3.44,2.86,3.72,3,2.72
58,S10,intervention,post,1.33,3.29,3.02,3.32,3.15,4.06,4,3.39
58,S10,intervention,followup,1.32,3.09,2.83,3.37,3.04,4.2,3,2.81
59,S11,intervention,pre,3.17,2.94,4.01,4.5,3.05,2.49,2,1.31
59,S11,intervention,post,3.24,2.79,4.41,4.27,3.33,2.81,2,2.41
59,S11,intervention,followup,3.27,2.78,4.12,4.37,3.19,2.72,5,2.15
60,S12,intervention,pre,2.62,2.62,3.89,2.51,3.65,2.85,5,3.52
60,S12,intervention,post,2.78,2.76,3.8,2.13,4.11,3.26,5,3.76
60,S12,intervention,followup,2.57,2.73,4.03,2.24,3.84,3.23,5,3.97
61,S01,intervention,pre,3.28,3.84,3.51,3.58,3.64,3.32,5,3.49
61,S01,intervention,post,3.55,3.94,3.76,3.54,4.01,3.67,5,3.71
61,S01,intervention,followup,3.25,4.05,3.97,3.57,3.87,3.7,5,3.61
62,S02,intervention,pre,3.05,3.49,3.77,3.13,3.4,2.64,5,3.7
